block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1019,total_effect_crt,5000,greater,ok,,-1.2864499739296735,0.7531234382808596,False,0.05,2000,4,4000,2711584252,0.008649800001876429
1000,1020,anticipation_pirt,-1,greater,ok,,0.0025400052653960473,0.6741629185407296,False,0.05,2000,499,1000,40554503,0.03238199997576885
1000,1020,carryover_crt,0,two-sided,ok,,0.8655275000201017,0.0024987506246876563,True,0.05,2000,250,250000,1277935926,0.027258799993433058
1000,1020,carryover_crt,1000,two-sided,ok,,-0.33181519310554863,0.4367816091954023,False,0.05,2000,125,125000,2584065773,0.019094499992206693
1000,1020,carryover_crt,2500,two-sided,ok,,0.5666882762764772,0.26936531734132935,False,0.05,2000,83,43500,3136496025,0.01428849998046644
1000,1020,carryover_crt,5000,two-sided,ok,,0.26988487214422446,0.7206396801599201,False,0.05,2000,41,41000,829184349,0.010291400016285479
1000,1020,carryover_crt,10000,two-sided,ok,,1.2281463340752843,0.2353823088455772,False,0.05,2000,22,22000,1613085313,0.0094200000166893
1000,1020,total_effect_crt,5000,greater,ok,,2.7786319446355106,0.20189905047476261,False,0.05,2000,5,5000,3150340332,0.00859189999755472
1000,1021,anticipation_pirt,-1,greater,ok,,-0.0012874200607711826,0.4702648675662169,False,0.05,2000,499,2000,1901395047,0.028080499992938712
1000,1021,carryover_crt,0,two-sided,ok,,0.2976960735747814,0.3218390804597701,False,0.05,2000,250,250000,1810317088,0.027802900003734976
1000,1021,carryover_crt,1000,two-sided,ok,,0.329506872282207,0.4432783608195902,False,0.05,2000,125,125000,1439301243,0.020663200004491955
1000,1021,carryover_crt,2500,two-sided,ok,,0.03217860186319038,0.9505247376311844,False,0.05,2000,83,43500,3150519558,0.014201699988916516
1000,1021,carryover_crt,5000,two-sided,ok,,-0.47065950157820435,0.4942528735632184,False,0.05,2000,41,41000,4115221608,0.011210299999220297
1000,1021,carryover_crt,10000,two-sided,ok,,-1.3419945144307888,0.18590704647676162,False,0.05,2000,22,22000,2939049146,0.009647500002756715
1000,1021,total_effect_crt,5000,greater,ok,,-4.934079885534942,1.0,False,0.05,2000,2,2000,1863407318,0.009010299982037395
1000,1022,anticipation_pirt,-1,greater,ok,,-0.0023420638882018173,0.20539730134932535,False,0.05,2000,499,2000,1944950417,0.03235710001899861
1000,1022,carryover_crt,0,two-sided,ok,,0.3576839921460897,0.248375812093953,False,0.05,2000,250,250000,2846819818,0.02761409999220632
1000,1022,carryover_crt,1000,two-sided,ok,,0.5520867072383463,0.20739630184907545,False,0.05,2000,125,125000,2329378187,0.017695199989248067
1000,1022,carryover_crt,2500,two-sided,ok,,-0.3241258714566389,0.5207396301849075,False,0.05,2000,83,43500,1201188015,0.015162199997575954
1000,1022,carryover_crt,5000,two-sided,ok,,-0.9099438808696664,0.22538730634682658,False,0.05,2000,41,41000,2486947374,0.010028099990449846
1000,1022,carryover_crt,10000,two-sided,ok,,0.47444453525780295,0.655672163918041,False,0.05,2000,22,22000,256966332,0.009794700017664582
1000,1022,total_effect_crt,5000,greater,ok,,-0.15636999423801898,0.7656171914042978,False,0.05,2000,2,2000,2244486939,0.008976399985840544
1000,1023,anticipation_pirt,-1,greater,ok,,-0.0027100396843372575,0.20939530234882558,False,0.05,2000,499,2000,2306602855,0.026558499987004325
1000,1023,carryover_crt,0,two-sided,ok,,0.5702818275734632,0.06796601699150424,False,0.05,2000,250,250000,2643220671,0.026112299994565547
1000,1023,carryover_crt,1000,two-sided,ok,,0.36659791168674827,0.4012993503248376,False,0.05,2000,125,125000,3425251327,0.02132020000135526
1000,1023,carryover_crt,2500,two-sided,ok,,-0.5590983956491911,0.296351824087956,False,0.05,2000,83,43500,2045530280,0.013253700017230585
1000,1023,carryover_crt,5000,two-sided,ok,,-0.17387560631770926,0.8185907046476761,False,0.05,2000,41,41000,1099946290,0.010951700009172782
1000,1023,carryover_crt,10000,two-sided,ok,,2.532693578811362,0.019490254872563718,True,0.05,2000,22,22000,1245870967,0.009248399990610778
1000,1023,total_effect_crt,5000,greater,ok,,5.858279868289828,0.26936531734132935,False,0.05,2000,2,2000,2191170256,0.008706700027687475
1000,1024,anticipation_pirt,-1,greater,ok,,0.002238378618615071,0.841079460269865,False,0.05,2000,499,1000,3962874278,0.028177700005471706
1000,1024,carryover_crt,0,two-sided,ok,,0.513949427543521,0.079960019990005,False,0.05,2000,250,250000,782902664,0.0311758000170812
1000,1024,carryover_crt,1000,two-sided,ok,,-0.17904207516893753,0.6806596701649176,False,0.05,2000,125,125000,1778661714,0.019117499992717057
1000,1024,carryover_crt,2500,two-sided,ok,,-0.0501368665644202,0.92103948025987,False,0.05,2000,83,43500,3315815034,0.015482199989492074
1000,1024,carryover_crt,5000,two-sided,ok,,-0.6097053512213978,0.4287856071964018,False,0.05,2000,41,41000,1398739263,0.010152499977266416
1000,1024,carryover_crt,10000,two-sided,ok,,-0.008880909452214748,0.9930034982508745,False,0.05,2000,22,22000,3886093651,0.009710999991511926
1000,1024,total_effect_crt,5000,greater,ok,,1.686511959323287,0.2448775612193903,False,0.05,2000,5,5000,1781150094,0.009953200002200902
